,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
9459,CN-228,KLA-TENCOR XMN XXX WHS,TSC,高科技/备件物流/化工行业事业部,KLATE,KLATE,,20210715,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,2.0,15.5,0.0,15.5,0.0,15.5,0.0,,1.0,7.75,,,2021-08-09 05:03:41.0
9460,CN-231,AZ WUX XXX WHS,LSH,生命科学与医疗行业事业部,AZXXX,AZXXX,,20210728,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,73.0,605.22,124.95000000000002,480.27000000000027,0.0,605.22,0.0,,0.793546148507981,8.29068493150685,,,2021-08-09 05:03:41.0
9461,CN-244,HP SHA CL0 WHS,TSC,高科技/备件物流/化工行业事业部,HPLJB,HPLJB,,20210609,202124,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,6.0,50.36000000000001,16.54,33.82000000000001,0.0,50.36000000000001,0.0,,0.6715647339158063,8.393333333333334,,,2021-08-05 07:35:11.0
9462,CN-249,UTC XMN XXX WHS,EM,工业与制造行业事业部,UTCAS,UTCAS,,20210720,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1.0,8.45,0.0,8.45,0.0,8.45,0.0,,1.0,8.45,,,2021-08-09 05:03:41.0
9463,CN-254,,,,,,,20210705,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3.0,24.83,0.0,24.83,0.0,16.83,8.0,,1.0,8.276666666666666,,,2021-08-05 07:35:11.0
9464,CN-254,,,,,,,20210804,202132,202108,202103,2021,0,,,,,,,,,,,,,,,,,,,,3.0,23.57,0.0,23.57,0.0,15.47,8.1,,1.0,7.856666666666666,,,2021-08-09 05:03:41.0
9465,CN-256,MICHELIN SZV XXX WHS,Auto,汽车行业事业部,MICHE,MICHE,6390.0,20210717,202129,202107,202103,2021,1,69.0,,,,,,63.0,1038.0,35736.0,25114.0,0.0,0.0,,,4607.0,796.0,911599.01,20876.0,21559.0,,,,,,,,,,,0.7209702660406886,0.2790297339593114,2021-08-10 09:30:35.0
9466,CN-257,LAM PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,LAMRE,LAMRE,,20210715,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,2.0,20.75,0.0,20.75,0.0,20.75,0.0,,1.0,10.375,,,2021-08-09 05:03:41.0
9467,CN-267,MICHELIN SHA XXX WHS,Auto,汽车行业事业部,MICHE,MICHE,,20210604,202123,202106,202102,2021,0,17.0,2.0,672.0,672.0,0.0,0.0,6.0,5.0,3224.0,3224.0,0.0,0.0,,,,,,,,,,,,,,,4.797619047619048,,,,,2021-08-05 07:35:11.0
9468,CN-270,MARS WUH XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,,20210722,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,10.0,106.61,84.66,21.950000000000003,0.0,106.61,0.0,,0.2058906293968671,10.661,,,2021-08-09 05:03:41.0
