ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-002,20210607,6779,0,8219.066,572,1,2569.836639,41.55,0,40.84556187,-0.704,0.084378227,8.31,5,0,41.55,41.55,41.55,41.55,41.55,41.55,-0.704,0,0
CN-002,20210610,9840,0,8219.066,16545,0,17875.93011,55.83,1,56.56003617,0.73,1.681402439,11.166,5,0,55.83,40.86,48.345,48.345,50.840499,52.0875,0.73,-0.089369533,-0.067033853
CN-002,20210615,7260,0,8219.066,18934,0,17875.93011,40.86,0,40.84556187,-0.014,2.607988981,8.172,5,0,55.83,40.86,48.345,48.345,50.840499,52.0875,-0.014,0.244260866,0.274779736
CN-002,20210705,32736,1,30298.34615,11341,2,11541.62013,40.65,0,40.84556187,0.196,0.346438172,8.13,5,0,40.65,40.65,40.65,40.65,40.65,40.65,0.196,0,0
CN-002,20210621,27541,1,30298.34615,785,1,2569.836639,41.45,0,40.84556187,-0.604,0.028502959,8.29,5,0,41.45,41.45,41.45,41.45,41.45,41.45,-0.604,0,0
CN-003,20210614,0,-1,0,0,-1,0,12.43,1,19.06010101,6.63,0,12.43,1,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,6.63,3.624681979,4.943483508
CN-003,20210703,0,-1,0,0,-1,0,10.63,1,19.06010101,8.43,0,10.63,1,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,8.43,4.407788993,5.949905927
CN-003,20210613,0,-1,0,0,-1,0,24.41,1,19.06010101,-5.35,0,12.205,2,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,-5.35,1.354969152,2.026526014
CN-003,20210606,0,-1,0,0,-1,0,73.96,2,81.04047733,7.08,0,9.245,8,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,7.08,-0.222758288,-0.001115468
CN-003,20210627,0,-1,0,0,-1,0,24.72,1,19.06010101,-5.66,0,12.36,2,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,-5.66,1.325436772,1.988572006
CN-003,20210701,0,-1,0,17293,0,25189.4595,102.43,3,104.3786932,1.949,0,11.38111111,9,0,102.43,95.26,98.845,98.845,100.040239,100.6375,1.949,-0.023330675,-0.017499756
CN-003,20210612,0,-1,0,0,-1,0,24.57,1,19.06010101,-5.51,0,12.285,2,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,-5.51,1.339633578,2.006817257
CN-003,20210710,0,-1,0,99784,3,95639.74569,110.29,3,104.3786932,-5.911,0,12.25444444,9,1,110.29,83.7,96.995,96.995,101.427553,103.6425,-5.911,-0.080355853,-0.060272917
CN-003,20210626,0,-1,0,83541,3,95639.74569,83.7,2,81.04047733,-2.66,0,11.95714286,7,1,110.29,83.7,96.995,96.995,101.427553,103.6425,-2.66,0.211798722,0.238261649
CN-003,20210620,0,-1,0,0,-1,0,73.85,2,81.04047733,7.19,0,12.30833333,6,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,7.19,-0.221600582,0.000372376
CN-003,20210619,0,-1,0,0,-1,0,91.96,0,94.15625585,2.196,0,13.13714286,7,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,2.196,-0.374893465,-0.196634406
