ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75,inc_day
CN-003,20210624,74694.0,1,101158.38772213247,133859.0,1,123758.31545741325,97.06,0,94.15625585023402,-2.904,1.7920984282539427,12.1325,8.0,0,97.06,97.06,97.06,97.06,97.06,97.06,-2.904,0.0,0.0,20210811
CN-003,20210608,107036.0,1,101158.38772213247,42387.0,0,25189.459497206703,95.61,0,94.15625585023402,-1.454,0.3960069509323966,10.623333333333331,9.0,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-1.454,2.196422968708662e-07,0.000549105742077135,20210811
CN-003,20210607,110192.0,1,101158.38772213247,65616.0,2,64403.94736842105,95.53,0,94.15625585023402,-1.374,0.5954697255699143,10.614444444444445,9.0,0,95.53,95.53,95.53,95.53,95.53,95.53,-1.374,0.0,0.0,20210811
CN-003,20210611,99600.0,1,101158.38772213247,98337.0,3,95639.74568965517,81.07000000000001,2,81.04047732696897,-0.03,0.9873192771084336,11.581428571428573,7.0,0,81.07000000000001,81.07000000000001,81.07000000000001,81.07000000000001,81.07000000000001,81.07000000000001,-0.03,0.0,0.0,20210811
CN-003,20210621,250772.0,2,193257.99732262382,128855.0,1,123758.31545741325,87.07,2,81.04047732696897,-6.03,0.5138332828226436,10.88375,8.0,0,97.37,83.51,85.66499999999999,88.0525,87.07103,89.645,-6.03,1.1829562421041535e-05,0.02957390605260139,20210811
CN-003,20210707,225813.0,2,193257.99732262382,60859.0,2,64403.94736842105,101.01,3,104.37869318181816,3.369,0.2695106127636584,11.223333333333334,9.0,0,103.4,92.17,101.01,98.86000000000001,101.806826,102.20500000000001,3.369,0.007888585288585246,0.011830511830511902,20210811
CN-003,20210709,175962.0,2,193257.99732262382,120236.0,1,123758.31545741325,97.37,0,94.15625585023402,-3.214,0.6833066230208795,10.818888888888887,9.0,0,97.37,83.51,85.66499999999999,88.0525,87.07103,89.645,-3.214,-0.10577149019205105,-0.07933655129916821,20210811
CN-003,20210702,184550.0,2,193257.99732262382,99249.0,3,95639.74568965517,89.47,0,94.15625585023402,4.686,0.5377892170143592,9.94111111111111,9.0,0,89.47,89.47,89.47,89.47,89.47,89.47,4.686,0.0,0.0,20210811
CN-003,20210609,170208.0,2,193257.99732262382,120292.0,1,123758.31545741325,84.26,2,81.04047732696897,-3.22,0.7067352885880804,10.5325,8.0,0,97.37,83.51,85.66499999999999,88.0525,87.07103,89.645,-3.22,0.033361381438404794,0.06390932826964148,20210811
CN-003,20210616,204796.0,2,193257.99732262382,69450.0,2,64403.94736842105,92.17,0,94.15625585023402,1.986,0.3391179515224907,11.52125,8.0,0,103.4,92.17,101.01,98.86000000000001,101.806826,102.20500000000001,1.986,0.1045549094065314,0.10887490506672465,20210811
