,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
4080,TD084,,,,,,,20210707,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8.63,0,8.63,0,8.63,0,,1,8.63,,,2021/8/5
4081,CATC008,,,,,,,20210721,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15,133.24,8,125.24,0,133.24,0,,0.939957971,8.882666667,,,2021/8/5
4082,CN-008,APPLE SZX XXX WHS,TD,运输产品部,APPLE,APPLE,8881,20210724,202130,202107,202103,2021,1,3,,,,,,,,,,,,,,2609,15212,3580000000,670000,670000,,,,,,,,,,,0.293773224,0.706226776,2021/8/5
4083,CN-021,DELL SHA YX0 WHS,TSC,高科技/备件物流/化工行业事业部,DELLS,DELLS,,20210712,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15,169.79,100.04,69.75,0,161.59,8.2,,0.410801578,11.31933333,,,2021/8/5
4084,CN-021,DELL SHA YX0 WHS,TSC,高科技/备件物流/化工行业事业部,DELLS,DELLS,,20210714,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15,166.94,99.53,67.41,0,158.94,8,,0.403797772,11.12933333,,,2021/8/5
4085,CN-036,H3C SHA YX0 WHS,TSC,高科技/备件物流/化工行业事业部,H3CUH,H3CUH,,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,3,25.09,4.75,20.34,0,25.09,0,,0.810681546,8.363333333,,,2021/8/5
4086,CN-066,STARBUCKS DGM XXX WHS,CR,快消/零售行业事业部,STARB,STARB,18805,20210727,202131,202107,202103,2021,0,10,21,37347,37298,115727.0385,58.2935,603,10866,52995,52995,118007.6189,,,,7705,37889,2914786,71,179763,,,,,,,,1.420853665,,,0.409731454,0.590268546,2021/8/5
4087,CN-075,VOLVO SHA YX0 WHS,Auto,汽车行业事业部,VOLVO,VOLVO,,20210713,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,44,525.58,394.5,131.08,0,512.81,12.77,,0.249400662,11.945,,,2021/8/5
4088,CN-165,RYOSHO SHA YX0 WHS,TSC,高科技/备件物流/化工行业事业部,RYOSH,RYOSH,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4,33.18,8.13,25.05,0,33.18,0,,0.754972875,8.295,,,2021/8/5
4089,CN-167,LEXMARK SHA XXX WHS,TSC,高科技/备件物流/化工行业事业部,LEMAR,LEMAR,,20210720,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,10,0,10,0,10,0,,1,10,,,2021/8/5
4090,CN-167,LEXMARK SHA XXX WHS,TSC,高科技/备件物流/化工行业事业部,LEMAR,LEMAR,,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,6.7,0,6.7,0,6.7,0,,1,6.7,,,2021/8/5
4091,CN-182,KLA-TENCOR XIY XXX WHS,TSC,高科技/备件物流/化工行业事业部,KLATE,KLATE,,20210710,202128,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,2,13.5,0,13.5,0,13.5,0,,1,6.75,,,2021/8/5
4092,CN-203,BRP SHA YX0 WHS,Auto,汽车行业事业部,BRPXX,BRPXX,,20210701,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,28.21,12.5,15.71,0,28.21,0,,0.556894718,9.403333333,,,2021/8/5
4093,CN-207,HUAWEI-TER DGM SSH WHS,TSC,高科技/备件物流/化工行业事业部,HUAWE,HUAWE,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,306,3307.6,3073.92,233.68,0,3289.95,17.65,,0.070649413,10.80915033,,,2021/8/5
4094,CN-214,BOSE SHA KQ0 WHS,TSC,高科技/备件物流/化工行业事业部,BOSEX,BOSEX,9387,20210707,202128,202107,202103,2021,0,26,90,49697,49697,0,0,151,261,26169,26169,9630411.33,26169,,,,,,,,17,177.8,116.18,61.62,0,177.8,0,0.52657102,0.346569179,10.45882353,,,2021/8/5
4095,CN-216,SGMW-PDC CKG XXX WHS,Auto,汽车行业事业部,SGMWA,SGMWA,,20210706,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,23,211.92,175.99,35.93,0,211.92,0,,0.169545111,9.213913043,,,2021/8/5
4096,CN-240,ASML CAN XXX WHS,TSC,高科技/备件物流/化工行业事业部,ASMLX,ASMLX,,20210722,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,34.12,26,8.12,0,34.12,0,,0.237983587,11.37333333,,,2021/8/5
